event name,type of event,set up,show day,dismantle,pax,venue
APKASI Expo & Conference,Exhibition,2023-07-17,2023-07-20,2023-07-23,5000.0,Hall 3 - 3A & Nusantara 1 - 2
Malam Dana GKI Nusaloka,Religious,2023-07-22,2023-07-22,2023-07-22,500.0,Nusantara 1
Taeyon Concert ,Concert,2023-07-18,2023-07-22,2023-07-23,,Hall 5
IPA Expo & Conference 2023,Exhibition,2023-07-23,2023-07-25,2023-07-28,,"Hall 5 - 6, Nusantara Hall & Garuda Rooms"
Meeting PT. TGS Geophysical,Meeting,2023-07-25,2023-07-25,2023-07-27,15.0,Cendana Room 7
OSC Doughnut Mercedes Benz,Outside Catering,2023-07-27,2023-07-27,2023-07-27,20.0,-
Kick Off Meeting GIIAS & GAIKINDO,Meeting,2023-07-28,2023-07-28,2023-07-28,30.0,Garuda Room 10
Meeting Kementerian Agama,Meeting,2023-07-29,2023-07-29,2023-07-29,160.0,Nusantara 1B
Briefing LO IIPE,Meeting,2023-07-29,2023-07-29,2023-07-29,60.0,Garuda Room 10
HUT Partai Bulan Bintang,Anniversary,2023-07-30,2023-07-30,2023-07-30,10000.0,Hall 3 - 3A
Local Fest,Concert,2023-07-26,2023-07-28,2023-07-31,,Hall 1 - 2
TM Exhibitor IIPE 2023,Meeting,2023-08-03,2023-08-03,2023-08-03,200.0,Garuda Main Hall 2AB
Jamuan Acara Istana Berkebaya,Outside Catering,2023-08-06,2023-08-06,2023-08-06,225.0,Istana Negara Jakarta
GIIAS ,Exhibition,2023-07-23,2023-08-10,2023-08-21,,All hall + Convention
TM Tenant FB IIPE,Meeting,2023-08-22,2023-08-22,2023-08-22,50.0,Garuda Room 10
OSC HUT SCTV,Outside Catering,2023-08-24,2023-08-24,2023-08-24,,SCTV
Meeting Kemenkes PIC Ibu Tanti,Meeting,2023-08-24,2023-08-24,2023-08-25,198.0,Garuda Main Hall
Muslim Life Fest,Exhibition,2023-08-23,2023-08-25,2023-08-28,20000.0,Hall 9 - 10
International Islamic Healthcare Conference & Expo,Exhibition,2023-08-23,2023-08-25,2023-08-27,300.0,Nusantara 1AB
IFRA,Exhibition,2023-08-23,2023-08-25,2023-08-28,5000.0,Hall 5
HDI Run,Sport Events,2023-08-26,2023-08-27,2023-08-27,1000.0,Sriwijaya Hall
OSC PT. Buchi,Outside Catering,2023-08-30,2023-08-30,2023-08-30,30.0,PT. Buchi Indonesia 
Rakernas BPP HIPMI,Meeting,2023-08-28,2023-08-30,2023-08-31,1000.0,Nusantara 1 - 2
Indonesia SME Summit & Expo 2023,Exhibition,2023-08-26,2023-08-29,2023-09-01,10000.0,Hall 2 - 3A
Meeting PT. Sinar Harapan Pet,Meeting,2023-09-02,2023-09-02,2023-09-02,30.0,Garuda Room 2
IIPE,Exhibition,2023-08-29,2023-09-01,2023-09-04,8000.0,Hall 8 - 10
Meeting PDHI,Meeting,2023-09-01,2023-09-01,2023-09-04,110.0,Garuda Main Hall 2
Kompas Travel Fair,Exhibition,2023-08-30,2023-09-01,2023-09-04,14853.0,Hall 8 - 10
Seminar HDI,Seminar,2023-09-01,2023-09-02,2023-09-03,3000.0,Sriwijaya Hall
Perfect Tone Recital,Recital,2023-09-03,2023-09-03,2023-09-03,50.0,Garuda Room 10
Bisnis Forum Mekari,Meeting,2023-09-07,2023-09-07,2023-09-07,1200.0,Nusantara 1 - 2 & Cendana Room 1 - 3
Meeting GPPI - Kementerian Pertanian,Meeting,2023-09-08,2023-09-08,2023-09-08,50.0,Garuda Room 5AB
BUNEX Perkebunan Expo,Exhibition,2023-09-05,2023-09-07,2023-09-10,10000.0,Hall 3 - 3A
BCA Expo 2023,Exhibition,2023-09-06,2023-09-08,2023-09-10,10000.0,Hall 5 - 10
Meeting Kemendikbud PIC Ibu Narti,Meeting,2023-09-10,2023-09-10,2023-09-12,200.0,Garuda Main Hall
People Fest Indosat 2023,Gathering,2023-09-11,2023-09-12,2023-09-12,2000.0,Hall 5
Mebel & Design Expo - IFFINA,Exhibition,2023-09-11,2023-09-14,2023-09-18,10000.0,Hall 1 - 6
Mebel & Design Expo - IFFINA Convention ,Meeting,2023-09-11,2023-09-14,2023-09-18,,Garuda Room 5AB - 8AB
OSC Pertamina Hulu Energi,Outside Catering,2023-09-18,2023-09-18,2023-09-19,50.0,Gedung Pertamina Hulu Energi
HIMSS APAC 2023,Meeting,2023-09-18,2023-09-18,2023-09-20,800.0,"Nusantara Hall & Garuda Room 2, 3, 5AB, 6AB"
ILDEX 2023,Exhibition,2023-09-18,2023-09-20,2023-09-23,5000.0,Hall 3 - 3A & Garuda Main Hall
Wedding Audrey & Matthew,Wedding,2023-09-23,2023-09-23,2023-09-23,1000.0,Nusantara 1
Wedding Christian & Inez,Wedding,2023-09-23,2023-09-23,2023-09-23,200.0,Garuda Main Hall
JCO Run,Sport Events,2023-09-22,2023-09-24,2023-09-24,3000.0,Outdoor Plaza A
TM Exhibitors IMOS,Meeting,2023-09-26,2023-09-26,2023-09-26,80.0,Garuda Main Hall 2AB
TM Exhibitors TEI,Meeting,2023-09-27,2023-09-27,2023-09-27,250.0,Nusantara 1AB
Omoda 5 GT Launching - Chery,Launching,2023-09-29,2023-09-29,2023-09-29,200.0,Nusantara 1AB
Indonesia International Book Fair (IIBF),Exhibition,2023-09-25,2023-09-27,2023-10-01,5000.0,Hall 1
FLOII,Exhibition,2023-09-26,2023-09-28,2023-10-01,5000.0,Hall 2
Homedec,Exhibition,2023-09-26,2023-09-28,2023-10-01,10000.0,Hall 3A
Wedding Enrico & Vienna,Wedding,2023-10-01,2023-10-01,2023-10-01,,Nusantara 1A
Festival Kerlap Kerlip,Concert,2023-09-28,2023-10-01,2023-10-02,,Outdoor Area
Wedding Mutiara & Archy,Wedding,2023-10-01,2023-10-01,2023-10-01,,Garuda Main Hall 1AB
Friends of Creative Economy Meeting - Kemenparekraf,Meeting,2023-10-04,2023-10-04,2023-10-04,150.0,Garuda Main Hall
SML Career Studio Launching,Meeting,2023-10-05,2023-10-05,2023-10-05,150.0,Garuda Main Hall 1 - 2
Bridestory Market - October 2023,Exhibition,2023-10-03,2023-10-05,2023-10-08,,Hall 3 - 3A
Graduation UMT,Graduation,2023-10-11,2023-10-11,2023-10-11,,Nusantara 1 - 3 & Hall 3A
Meeting Paragon,Meeting,2023-10-09,2023-10-09,2023-10-13,100.0,Garuda Main Hall 1 & Garuda Room 3
TM Exhibitor Jakarta Coffee Week,Meeting,2023-10-12,2023-10-12,2023-10-12,100.0,Garuda Room 6AB
TM Exhibitor Indo Diecast Expo,Meeting,2023-10-13,2023-10-13,2023-10-13,50.0,Garuda Room 7AB
TM Exhibitor Pesta Warga,Meeting,2023-10-13,2023-10-13,2023-10-13,75.0,Garuda Room 10
Wedding Vanda & Dedy,Wedding,2023-10-15,2023-10-15,2023-10-15,,Garuda Main Hall
TM Exhibitor IISIA,Meeting,2023-10-16,2023-10-16,2023-10-16,100.0,Garuda Main Hall
Spanish Business Reception,Meeting,2023-10-18,2023-10-18,2023-10-18,75.0,Garuda Room 8AB
Toyota Business Luncheon,Meeting,2023-10-18,2023-10-18,2023-10-18,,Garuda Room 1
TM Exhibitor IFBC 2023,Meeting,2023-10-18,2023-10-18,2023-10-18,100.0,Garuda Room 6AB
Jakarta Muslim Fashion Week,Exhibition,2023-10-15,2023-10-19,2023-10-22,,Hall 9
Trade Expo Indonesia,Exhibition,2023-10-14,2023-10-18,2023-10-23,32966.0,All hall + Convention
Graduation UNIS,Graduation,2023-10-24,2023-10-25,2023-10-25,3000.0,Sriwijaya Hall
Rakernas IWAPI,Meeting,2023-10-24,2023-10-24,2023-10-26,,Nusantara 1 - 3
IMOS 2023,Exhibition,2023-10-23,2023-10-25,2023-10-30,,Hall 10
Indocomtech,Exhibition,2023-10-24,2023-10-26,2023-10-30,10000.0,Hall 7
Garuda Travel Fair,Exhibition,2023-10-25,2023-10-27,2023-10-30,,Hall 3 - 3A
Pesta Warga Bapak-Bapak ID,Exhibition,2023-10-26,2023-10-28,2023-10-30,,Hall 6
Moto Built Fest 2023,Exhibition,2023-10-26,2023-10-28,2023-10-30,,Hall 9
Indo Diecast Expo ,Exhibition,2023-10-26,2023-10-28,2023-10-30,5000.0,Hall 8
KBL Expo 2023,Recital,2023-10-28,2023-10-28,2023-10-29,1000.0,Garuda Main Hall
INDALAS Conference,Meeting,2023-11-01,2023-11-02,2023-11-04,,Nusantara Hall
Jakarta Coffee Week,Exhibition,2023-10-30,2023-11-03,2023-11-06,,Hall 10
IFBC Franchise Expo - November,Exhibition,2023-11-01,2023-11-03,2023-11-05,,Hall 3A
CIIF Pertamina Hulu Rokan,Meeting,2023-11-07,2023-11-07,2023-11-10,700.0,Nusantara 1AB & Garuda Room 6AB - 9A
Meeting Kementerian Pertanian,Meeting,2023-11-08,2023-11-08,2023-11-09,150.0,Nusantara 3
Client Gathering - BBSP KEBTKE Kementerian ESDM,Gathering,2023-11-10,2023-11-10,2023-11-10,,Garuda Main Hall 1AB & 2A
IISIA Business Forum,Exhibition,2023-11-06,2023-11-09,2023-11-12,,Hall 3 - 3A
Meeting Shell Lube Academy,Meeting,2023-11-15,2023-11-15,2023-11-15,100.0,Garuda Room 6AB
ENLIT Live Tour,Meeting,2023-11-15,2023-11-15,2023-11-15,,Garuda Room 7AB
ENLIT POWERGEN 2023,Exhibition,2023-11-11,2023-11-14,2023-11-17,10000.0,Hall 5 - 8
PVS ASEAN EXPO 2023,Exhibition,2023-11-11,2023-11-14,2023-11-17,,Hall 9
Hiera Anniversary & Appreciation Date ,Gathering,2023-11-17,2023-11-17,2023-11-17,600.0,Nusantara 1 - 2
Sosialisasi & Gathering Pembentukan P3SRS,Gathering,2023-11-18,2023-11-18,2023-11-18,300.0,Garuda Main Hall
Wedding Abiyu & Evita,Wedding,2023-11-18,2023-11-18,2023-11-18,2000.0,Nusantara 1 - 2
Rhapsodie Piano Competition - Batch 2A,Recital,2023-11-18,2023-11-18,2023-11-18,500.0,Garuda Room 5AB - 7AB
Rhapsodie Piano Competition - Batch 2B,Recital,2023-11-19,2023-11-19,2023-11-19,500.0,Garuda Room 5AB - 6A
Fan Meeting Gulf Kanawut,Concert,2023-11-19,2023-11-19,2023-11-19,600.0,Nusantara 1AB
Rakerwil Seri 1 FIF Group,Meeting,2023-11-21,2023-11-21,2023-11-21,120.0,Garuda Main Hall
OSC SCTV Awards,Outside Catering,2023-11-22,2023-11-22,2023-11-22,225.0,SCTV
Launching Nusantara & Food Hotel Expo,Launching,2023-11-23,2023-11-23,2023-11-23,200.0,Garuda Main Hall
Fan Meeting by MCP,Concert,2023-11-23,2023-11-25,2023-11-26,,Hall 10
Wedding Ega & Elva,Wedding,2023-11-25,2023-11-25,2023-11-25,3000.0,Nusantara 1 - 2
It's His/Her Day,Exhibition,2023-11-21,2023-11-24,2023-11-27,,Hall 1 - 3A
Seminar BEST MLM,Seminar,2023-11-25,2023-11-26,2023-11-26,12000.0,Hall 9 - 10
Meeting BPH Migas,Meeting,2023-11-28,2023-11-28,2023-11-28,70.0,Garuda Room 8AB
Meeting BKPM,Meeting,2023-11-28,2023-11-28,2023-11-28,122.0,Garuda Main Hall
Wisuda Stikes Faathir Husada ,Graduation,2023-11-29,2023-11-29,2023-11-29,300.0,Garuda Main Hall
iSWAM,Exhibition & Seminar,2023-11-29,2023-12-01,2023-12-04,3.0,Nusantara Hall & Hall 3 - 3A
Senior Expo 2023,Exhibition,2023-11-27,2023-11-30,2023-12-03,5.0,Hall 10
Kebaktian Gereja Mawar Sharon,Religious,2023-11-30,2023-12-02,2023-12-04,3.0,Hall 5 - 7
Family Gathering Schlumberger,Gathering,2023-12-01,2023-12-02,2023-12-02,3.0,Hall 2
Employee Gathering Pertamina Internasional EP,Gathering,2023-12-02,2023-12-03,2023-12-03,300.0,Hall 1
OSC - SML Rising Star 2023,Outside Catering,2023-12-04,2023-12-04,2023-12-04,,-
Rakorwasda Inspektorat Kabupaten Tangerang 2023,Meeting,2023-12-04,2023-12-04,2023-12-05,,Garuda Main Hall
Graduation Univ. Prasetiya Mulya,Graduation,2023-12-05,2023-12-05,2023-12-05,1.0,Nusantara 1 - 3
Evaluasi Pelayanan SNSU TK - BSN,Meeting,2023-12-06,2023-12-06,2023-12-06,,Garuda Room 5AB
Meeting Kemenperin,Meeting,2023-12-06,2023-12-06,2023-12-06,,Garuda Room 6AB
SmartCity & Rakornas,Meeting,2023-12-06,2023-12-06,2023-12-08,,Nusantara 1 - 2
Meeting Kemenko Perekonomian,Meeting,2023-12-08,2023-12-08,2023-12-08,,Nusantara 1B
Natal Bersama Sinarmasland,religious,2023-12-08,2023-12-08,2023-12-08,,Nusantara 3
Rakerwil Seri 2 FIF Group,Meeting,2023-12-08,2023-12-08,2023-12-08,120.0,Garuda Main Hall
Seminar British Propolis,Seminar,2023-12-08,2023-12-09,2023-12-09,3.0,Nusantara 1 - 3
Family Gathering Kilang Pertamina Internasional,Gathering,2023-12-09,2023-12-09,2023-12-09,,Garuda Main Hall 1AB
Halal International Expo,Exhibition,2023-12-05,2023-12-08,2023-12-11,,Hall 3 - 3A
Wedding Sherly & Rubih,Wedding,2023-12-10,2023-12-10,2023-12-10,,Nusantara 1
Planet Sports Run,Sport Events,2023-12-09,2023-12-10,2023-12-10,5.0,Outdoor Plaza A & B
Allegro Piano Recital,Recital,2023-12-10,2023-12-10,2023-12-10,100.0,Garuda Room 8AB
Wedding Cyrilla & Gilang,Wedding,2023-12-12,2023-12-12,2023-12-12,,Garuda Main Hall 1AB
JBP Guardian & Watson - Unilever,Meeting,2023-12-12,2023-12-12,2023-12-13,,Garuda Room 9AB
Launching IPA 2024,Launching,2023-12-14,2023-12-14,2023-12-14,,Nusantara 1AB
Meeting Garuda Food,Meeting,2023-12-13,2023-12-13,2023-12-15,,Garuda Main Hall 1AB
Wedding Ilham & Rita,Wedding,2023-12-16,2023-12-16,2023-12-16,800.0,Garuda Main Hall
Wedding Andre & Assyifa,Wedding,2023-12-16,2023-12-16,2023-12-16,,Nusantara Hall
Comic Frontier - Batch 2,Exhibition,2023-12-15,2023-12-16,2023-12-17,,Hall 8 - 10
Wedding Radipto & Karissa,Wedding,2023-12-17,2023-12-17,2023-12-17,,Nusantara 1
OSC Art K Global Promotor,Outside Catering,2023-12-20,2023-12-20,2023-12-20,,-
Ulang Tahun Ke-5 Tahun Anak,Birthday,2023-12-20,2023-12-20,2023-12-20,200.0,Nusantara 1
Meeting Bawaslu,Meeting,2023-12-20,2023-12-20,2023-12-21,,Garuda Main Hall
Outside Catering SCTV (HUT INDOSIAR),,,2024-01-10,,425.0,Studio 6 INDOSIAR
Sales Rally Coca - Cola,,,2024-01-11,,,Nusantara Hall
Wirtgen Day,,,2024-01-11,,,Garuda Main Hall
Food Tasting HUT Pertamina Hulu Indonesia,,,2024-01-11,,,Garuda Room 1
GEMAZFest (E-sport),,,2024-01-12,,,Exhibition Hall 5-6
Wedding Sarah & Alif,,,2024-01-13,,,Garuda Main Hall
Family Gathering Pertamina EP Cepu,,,2024-01-14,,1.5,Hall 10
Meeting TAR 12 BP Indonesia,,,2024-01-15,,,"Exhibition Hall 3A , Nusantara 3 & Gaurda Area"
Pisah Sambut Kapolres Tangerang Selatan,,,2024-01-17,,,Garuda Main Hall
Mega Seminar Generali,,,2024-01-17,,600.0,Nusantara Hall
SML Career Studio Orientation Day,,,2024-01-19,,,Garuda Main Hall
Wedding Diana & Kapten,,,2024-01-20,,,Garuda Main Hall 1 & 2
Kick Off Meeting WOM Finance,,,2024-01-20,,,Nusantara 3
Launching Weichai,,,2024-01-22,,,Hall 9 - 10
Caplang Sync,,,2024-01-25,,,Nusantara 1
Bridestory Market,,,2024-02-01,,10.0,Hall 3 - 3A
Kementrian Kelautan & Perikanan,,,2024-02-01,,236.0,Nusantara 1AB
Kementrian Pariwisata dan Ekonomi Kreatif,,,2024-02-01,,100.0,Garuda Main Hall 1
Meeting BTPN,,,2024-02-03,,260.0,"Nusantara 3, Garuda Room 3 & 5AB"
Meeting BSD,,,2024-02-03,,250.0,Garuda Main Hall
HUT Pertamina Hulu Indonesia,,,2024-02-03,,850.0,Hall 10
Meeting P&G,,,2024-02-05,,70.0,Garuda Room 7AB & 8A
Kementrian PANBR,,,2024-02-05,,180.0,"Garuda 5AB, 6AB, 7AB"
Kemenkes,,,2024-02-19,,150.0,Garuda Main Hall 1
National Program SML 2024,,,2024-02-22,,1.5,Nusantara Hall 2-3
Meeting IRCOMM Exhibitor ARCH ID,,,2024-02-22,,50.0,Garuda Room 10
Meeting Niro Granit Exhibitor ARCH ID,,,2024-02-23,,15.0,Cendana Room 5
IFBC Franchise Expo - February,,,2024-02-23,,15.0,Hall 1
Concert Jonas Brother,,,2024-02-24,,10.0,Hall 9 - 10
FG Indosat Ooredoo Hutchinson 2024,,,2024-02-24,,7.0,Hall 2 - 3A
Kementian Lingkungan Hidup,,,2024-02-26,,80.0,Garuda Main Hall 1
BCA Expoversary,,,2024-02-29,,90.0,Hall 1-10 & Nusantara Hall
Astindo Fair - BCA Expoversary,,,2024-02-29,,90.0,Hall 1
Young Living - BCA Expoversary,,,2024-02-29,,15.0,Cendana Room 1
WR Juan & Monica,,,2024-03-01,,300.0,Garuda Main Hall 1
Meeting Indo Tirta Abadi,,,2024-03-02,,80.0,Garuda Room 5AB
Customer Business Forum - Pertamina Gas Negara,,,2024-03-06,,1.6,Nusantara Hall
Kejuaraan Nasional Karate,,,2024-03-06,,2.0,Hall 3A
Meeting PLN,,,2024-03-07,,50.0,Nusantara 1A
One Smile Club Reward 2023,,,2024-03-08,,350.0,Nusantara Hall 1AB
Fan Meeting Chanyeol,,,2024-03-09,,8.0,Hall 5-6
Musrenbang Bappeda,,,2024-03-20,,150.0,Garuda Main Hall 1B2A
Kementerian Lingkungan Hidup,,,2024-03-21,,40.0,Garuda Room 5AB
Buka Puasa SML,,,2024-03-22,,1.0,Nusantara 1 - 2
Kebaktian Paskah Tangerang 2024,,,2024-03-23,,5.0,Sriwijaya Hall 1
Seminar Edukasi,,,2024-03-23,,80.0,Garuda Room 10
TM 1 IPA Convex 2024,,,2024-03-28,,50.0,Garuda Main Hall
Indonesia Music Celebration,,,2024-03-31,,100.0,Garuda Room 10
